Date,Open,High,Low,Close,Adj Close,Volume
2018-11-16,49.360001,51.209999,48.980000,50.900002,49.527809,888900
2018-11-19,50.250000,51.000000,48.910000,49.230000,47.902828,578200
2018-11-20,48.240002,48.919998,46.680000,47.430000,46.151356,525600
2018-11-21,48.060001,49.500000,47.389999,48.200001,46.900597,421900
2018-11-23,47.439999,48.150002,46.369999,46.369999,45.119926,301500
2018-11-26,47.180000,48.720001,46.529999,48.130001,46.832485,428500
2018-11-27,47.459999,48.770000,46.720001,48.009998,46.715717,436600
2018-11-28,48.049999,49.610001,47.200001,49.520000,48.185009,231200
2018-11-29,49.570000,50.830002,49.056999,49.680000,48.340694,302800
2018-11-30,49.680000,50.860001,49.180000,50.529999,49.167782,732400
2018-12-03,51.830002,52.860001,51.119999,52.040001,50.637074,458600
2018-12-04,52.060001,52.950001,49.189999,49.310001,47.980671,500900
2018-12-06,48.259998,49.680000,47.540001,49.650002,48.311508,527800
2018-12-07,47.570000,49.840000,45.889999,46.410000,45.158852,567600
2018-12-10,46.119999,47.230000,45.529999,46.970001,45.703754,744000
2018-12-11,49.299999,49.470001,45.189999,46.509998,45.256157,592300
2018-12-12,48.009998,48.720001,46.669998,46.779999,45.518875,551700
2018-12-13,47.060001,47.700001,46.000000,46.110001,44.866940,346900
2018-12-14,45.430000,46.330002,44.880001,45.419998,44.195538,515100
2018-12-17,45.299999,46.880001,44.070000,44.759998,43.553329,531700
2018-12-18,45.259998,45.720001,44.320999,45.000000,43.786861,614800
2018-12-19,45.180000,47.160000,44.299999,44.750000,43.543602,471500
2018-12-20,44.250000,45.799999,43.770000,44.669998,43.465759,447800
2018-12-21,44.580002,45.700001,44.110001,44.150002,42.959778,639400
2018-12-24,43.279999,44.810001,42.700001,43.400002,42.230000,220300
2018-12-26,43.560001,45.580002,42.099998,45.529999,44.302574,436900
2018-12-27,44.270000,45.160000,42.840000,45.099998,43.884163,541000
2018-12-28,45.450001,46.110001,44.660000,44.820000,43.611713,285500
2018-12-31,45.299999,45.959999,44.580002,45.779999,44.545834,288300
2019-01-02,44.529999,47.290001,44.000000,46.580002,45.324268,331200
2019-01-03,46.119999,46.160000,44.500000,44.770000,43.563068,313100
2019-01-04,45.939999,48.200001,45.410000,47.799999,46.511379,433900
2019-01-07,47.529999,49.160000,46.490002,48.540001,47.231426,511100
2019-01-08,48.980000,49.619999,48.270000,48.340000,47.427654,450000
2019-01-09,48.930000,49.599998,48.400002,49.230000,48.300858,218400
2019-01-10,48.860001,50.070000,47.970001,50.020000,49.075947,236500
2019-01-11,49.619999,50.400002,49.200001,49.630001,48.693310,202100
2019-01-14,48.650002,49.400002,48.349998,48.529999,47.614067,297100
2019-01-15,48.410000,49.160000,47.799999,48.430000,47.515957,317100
2019-01-16,48.599998,49.660000,48.599998,49.130001,48.202744,312200
2019-01-17,48.709999,50.610001,48.709999,50.020000,49.075947,306200
2019-01-18,50.680000,51.680000,50.130001,51.310001,50.341602,214600
2019-01-22,50.790001,50.790001,48.389999,48.720001,47.800484,329100
2019-01-23,43.490002,45.900002,42.860001,44.509998,43.669937,1580500
2019-01-24,44.130001,46.939999,44.130001,46.619999,45.740116,712100
2019-01-25,47.490002,48.340000,47.490002,47.869999,46.966522,470000
2019-01-28,46.959999,48.110001,46.884998,47.790001,46.888035,278000
2019-01-29,47.779999,48.570000,47.285000,48.340000,47.427654,417600
2019-01-30,48.669998,49.700001,48.160000,49.410000,48.477459,526700
2019-01-31,49.020000,50.240002,48.230000,49.049999,48.124256,441500
2019-02-01,49.119999,50.849998,48.669998,50.349998,49.399719,374700
2019-02-04,50.180000,50.250000,49.549999,49.939999,48.997456,169900
2019-02-05,50.049999,50.549999,49.650002,49.799999,48.860096,289100
2019-02-06,49.480000,49.952000,49.220001,49.549999,48.614815,223900
2019-02-07,49.369999,49.869999,47.660000,47.889999,46.986149,297700
2019-02-08,47.389999,47.900002,46.230000,46.709999,45.828419,356700
2019-02-11,46.759998,47.400002,46.595001,47.220001,46.328793,315300
2019-02-12,47.650002,49.270000,47.525002,49.230000,48.300858,261500
2019-02-13,49.540001,50.560001,49.090000,50.189999,49.242737,280000
2019-02-14,49.049999,50.639999,48.099998,49.540001,48.605007,459100
2019-02-15,50.430000,51.459999,49.689999,51.410000,50.439713,313800
2019-02-19,50.770000,51.740002,50.770000,51.410000,50.439713,325300
2019-02-20,51.400002,52.340000,50.970001,51.810001,50.832165,308400
2019-02-21,51.630001,51.950001,50.529999,50.889999,49.929527,250800
2019-02-22,51.209999,52.110001,51.049999,51.919998,50.940086,335800
2019-02-25,51.830002,52.330002,51.540001,51.570000,50.596695,236500
2019-02-26,51.480000,51.700001,50.959999,51.020000,50.057076,541100
2019-02-27,51.119999,51.299999,50.200001,51.009998,50.047264,263100
2019-02-28,50.689999,50.689999,49.750000,50.189999,49.242737,359800
2019-03-01,50.540001,51.334999,50.020000,51.180000,50.214054,302800
2019-03-04,51.439999,51.590000,50.240002,50.950001,49.988396,244000
2019-03-05,50.799999,51.169998,49.900002,49.910000,48.968021,171800
2019-03-06,50.139999,50.439999,48.980000,49.060001,48.134068,280300
2019-03-07,48.980000,48.980000,47.189999,47.299999,46.407284,372900
2019-03-08,46.709999,47.279999,46.105000,46.740002,45.857853,402200
2019-03-11,46.939999,48.035000,46.869999,47.500000,46.603508,409800
2019-03-12,47.660000,47.880001,47.310001,47.540001,46.642757,272800
2019-03-13,47.730000,47.730000,46.680000,46.730000,45.848042,279600
2019-03-14,46.529999,46.889999,45.369999,45.599998,44.739365,346600
2019-03-15,45.720001,46.820000,45.700001,46.740002,45.857853,807700
2019-03-18,46.970001,47.783001,46.290001,47.130001,46.240494,212100
2019-03-19,47.700001,48.320000,46.630001,46.860001,45.975586,192800
2019-03-20,46.570000,46.880001,45.950001,46.270000,45.396725,227300
2019-03-21,45.750000,47.220001,45.750000,47.099998,46.211056,230500
2019-03-22,46.439999,46.650002,43.939999,44.029999,43.198997,357100
2019-03-25,44.119999,44.660000,43.400002,44.169998,43.336357,298800
2019-03-26,44.810001,45.259998,44.209999,44.939999,44.091824,294700
2019-03-27,45.029999,45.660000,44.360001,44.959999,44.111446,258500
2019-03-28,45.340000,46.110001,45.279999,45.959999,45.092571,306900
2019-03-29,46.330002,46.799999,45.060001,45.299999,44.445026,369600
2019-04-01,45.939999,47.970001,45.750000,47.820000,46.917469,399600
2019-04-02,47.790001,48.130001,47.279999,47.580002,46.681999,208900
2019-04-03,48.000000,48.279999,45.910000,45.970001,45.102386,326000
2019-04-04,45.980000,48.070000,45.980000,47.700001,46.799732,288800
2019-04-05,47.930000,48.650002,47.660000,48.169998,47.260860,366100
2019-04-08,47.980000,48.514999,47.814999,48.310001,47.398224,204600
2019-04-09,47.950001,47.950001,46.169998,46.310001,45.435970,282300
2019-04-10,46.009998,47.160000,45.470001,46.950001,46.465229,229600
2019-04-11,46.930000,47.389999,46.410000,46.860001,46.376160,206800
2019-04-12,47.529999,47.959999,46.958000,47.290001,46.801720,170800
2019-04-15,47.230000,47.730000,46.750000,47.209999,46.722546,333500
2019-04-16,47.560001,48.209999,47.150002,48.099998,47.603355,285900
2019-04-17,48.360001,48.759998,47.849998,48.020000,47.524181,186300
2019-04-18,47.880001,48.730000,47.880001,48.040001,47.543976,205600
2019-04-22,47.650002,48.099998,47.169998,47.480000,46.989758,180000
2019-04-23,47.299999,48.220001,46.830002,48.040001,47.543976,173600
2019-04-24,47.849998,47.970001,46.646000,47.009998,46.524609,217700
2019-04-25,46.599998,46.860001,45.139999,45.150002,44.683815,286100
2019-04-26,45.130001,46.180000,44.450001,46.160000,45.683388,283300
2019-04-29,46.049999,46.750000,45.889999,46.279999,45.802147,213400
2019-04-30,46.279999,46.279999,44.852001,44.950001,44.485882,320100
2019-05-01,45.060001,45.099998,43.259998,43.290001,42.843021,390000
2019-05-02,43.290001,43.290001,41.279999,42.189999,41.754375,529000
2019-05-03,43.570000,47.630001,43.570000,46.459999,45.980289,976700
2019-05-06,44.630001,45.340000,43.840000,45.150002,44.683815,403300
2019-05-07,44.270000,44.900002,43.700001,44.509998,44.050423,406900
2019-05-08,44.380001,45.090000,44.375000,44.570000,44.109802,344300
2019-05-09,43.830002,44.279999,42.320000,43.470001,43.021164,400100
2019-05-10,43.270000,43.610001,42.500000,43.480000,43.031059,410100
2019-05-13,42.080002,42.215000,39.889999,40.860001,40.438110,475900
2019-05-14,41.080002,41.950001,40.830002,41.570000,41.140778,309900
2019-05-15,40.990002,41.759998,40.825001,41.689999,41.259541,335900
2019-05-16,41.860001,41.930000,40.900002,41.279999,40.853771,277300
2019-05-17,40.590000,41.230000,40.040001,40.049999,39.636475,215800
2019-05-20,39.459999,39.794998,38.860001,39.439999,39.032772,309600
2019-05-21,39.860001,40.740002,39.860001,40.480000,40.062035,167100
2019-05-22,40.080002,40.750000,39.770000,40.029999,39.616680,225500
2019-05-23,39.220001,39.470001,38.414001,39.009998,38.607212,273300
2019-05-24,39.669998,39.669998,38.590000,39.090000,38.686386,196500
2019-05-28,39.230000,39.230000,38.230000,38.240002,37.845165,237400
2019-05-29,37.709999,38.384998,37.540001,38.000000,37.607639,349100
2019-05-30,38.139999,39.070000,37.529999,37.680000,37.290943,385900
2019-05-31,36.849998,37.320000,36.645000,36.840000,36.459618,602100
2019-06-03,36.990002,38.724998,36.990002,38.139999,37.746193,328800
2019-06-04,38.549999,40.090000,38.480000,40.000000,39.586990,252600
2019-06-05,39.930000,39.930000,38.549999,39.110001,38.706181,272400
2019-06-06,39.060001,39.465000,38.299999,38.980000,38.577522,254100
2019-06-07,39.270000,39.605000,38.700001,39.369999,38.963493,209700
2019-06-10,39.740002,40.900002,39.740002,39.919998,39.507813,195100
2019-06-11,40.689999,41.221001,40.349998,40.820000,40.398521,285700
2019-06-12,40.770000,40.770000,40.200001,40.580002,40.161003,153700
2019-06-13,40.939999,41.159000,40.540001,40.919998,40.497490,259500
2019-06-14,40.599998,41.110001,39.785000,39.820000,39.408848,150200
2019-06-17,39.889999,39.950001,38.790001,39.560001,39.151535,250600
2019-06-18,39.950001,40.963001,39.799999,40.590000,40.170898,198200
2019-06-19,40.490002,40.529999,39.750000,40.230000,39.814613,184200
2019-06-20,40.650002,40.759998,39.970001,40.049999,39.636475,192600
2019-06-21,39.470001,41.240002,39.355000,40.849998,40.428211,517700
2019-06-24,41.000000,41.660000,40.730000,40.930000,40.507389,338100
2019-06-25,40.970001,41.410000,40.610001,40.970001,40.546974,287000
2019-06-26,41.320000,41.830002,41.061001,41.400002,40.972534,270400
2019-06-27,41.400002,42.459999,41.387001,41.990002,41.556446,342800
2019-06-28,42.139999,42.840000,41.770000,42.340000,41.902828,1269700
2019-07-01,42.360001,42.580002,40.480000,40.500000,40.081829,475400
2019-07-02,40.389999,40.419998,39.349998,39.790001,39.379158,343500
2019-07-03,39.990002,40.650002,39.770000,40.279999,39.864098,180200
2019-07-05,39.770000,40.650002,39.770000,40.599998,40.180794,229100
2019-07-08,40.450001,40.720001,39.360001,39.380001,38.973392,307800
2019-07-09,39.000000,39.270000,38.360001,38.740002,38.340000,398100
2019-07-10,38.529999,38.970001,38.250000,38.279999,38.279999,369300
2019-07-11,38.419998,38.750000,37.700001,38.380001,38.380001,402500
2019-07-12,38.529999,39.970001,38.205002,39.500000,39.500000,361300
2019-07-15,39.570000,39.869999,38.650002,38.910000,38.910000,221600
2019-07-16,38.810001,39.919998,38.459999,39.360001,39.360001,334700
2019-07-17,37.930000,37.930000,36.400002,36.910000,36.910000,502300
2019-07-18,36.910000,37.910000,36.799999,37.720001,37.720001,325200
2019-07-19,37.770000,38.360001,37.660000,37.700001,37.700001,361100
2019-07-22,37.750000,38.270000,37.279999,37.389999,37.389999,543800
2019-07-23,37.860001,39.349998,37.715000,39.270000,39.270000,356300
2019-07-24,38.950001,40.599998,38.950001,40.389999,40.389999,294700
2019-07-25,40.009998,40.009998,39.009998,39.389999,39.389999,408700
2019-07-26,39.560001,40.430000,39.110001,40.279999,40.279999,309100
2019-07-29,40.169998,40.259998,38.619999,38.740002,38.740002,394600
2019-07-30,38.299999,40.330002,37.889999,40.180000,40.180000,342300
2019-07-31,40.130001,40.650002,38.650002,38.810001,38.810001,395900
2019-08-01,38.599998,39.080002,36.189999,36.529999,36.529999,357200
2019-08-02,36.000000,36.154999,35.029999,35.310001,35.310001,494300
2019-08-05,34.259998,34.650002,32.830002,33.520000,33.520000,395200
2019-08-06,33.830002,34.150002,32.560001,33.599998,33.599998,374400
2019-08-07,32.939999,33.500000,32.430000,33.189999,33.189999,316900
2019-08-08,33.549999,35.180000,33.549999,35.000000,35.000000,551700
2019-08-09,34.540001,35.990002,30.590000,30.770000,30.770000,1014500
2019-08-12,30.440001,30.440001,29.450001,29.610001,29.610001,358800
2019-08-13,27.450001,31.080000,27.370001,30.160000,30.160000,488800
2019-08-14,29.000000,29.219999,28.320000,28.440001,28.440001,367300
2019-08-15,28.549999,28.549999,27.490000,27.860001,27.860001,249800
2019-08-16,28.129999,29.750000,28.129999,29.290001,29.290001,393200
2019-08-19,30.209999,30.540001,29.840000,30.080000,30.080000,277300
2019-08-20,29.920000,30.100000,29.150000,29.219999,29.219999,510200
2019-08-21,29.830000,30.230000,29.170000,29.250000,29.250000,338500
2019-08-22,29.370001,29.951000,29.090000,29.120001,29.120001,300000
2019-08-23,28.650000,28.950001,27.360001,27.600000,27.600000,353400
2019-08-26,28.180000,28.459999,27.730000,27.969999,27.969999,255900
2019-08-27,31.230000,31.700001,30.270000,31.129999,31.129999,2960900
2019-08-28,31.150000,33.689999,31.010000,32.740002,32.740002,1800300
2019-08-29,33.520000,35.000000,33.500000,35.000000,35.000000,9579000
2019-08-30,35.259998,35.570000,34.590000,35.090000,35.090000,1061900
2019-09-03,34.139999,34.820000,33.919998,34.110001,34.110001,1039600
2019-09-04,34.720001,35.424999,34.619999,35.340000,35.340000,711500
2019-09-05,36.130001,37.250000,35.400002,36.980000,36.980000,661000
2019-09-06,36.980000,37.049999,35.740002,36.549999,36.549999,403600
2019-09-09,36.919998,39.700001,36.910000,39.610001,39.610001,1014300
2019-09-10,39.560001,42.660000,39.169998,42.369999,42.369999,991200
2019-09-11,42.430000,44.169998,40.520000,43.939999,43.939999,742000
2019-09-12,43.660000,43.770000,41.389999,43.520000,43.520000,650100
2019-09-13,44.439999,45.250000,43.522999,44.279999,44.279999,768500
2019-09-16,43.619999,45.040001,43.349998,44.299999,44.299999,374100
2019-09-17,43.689999,44.110001,42.980000,43.770000,43.770000,466000
2019-09-18,43.650002,43.880001,42.340000,42.900002,42.900002,563900
2019-09-19,43.020000,44.000000,42.889999,43.090000,43.090000,379300
2019-09-20,43.130001,44.090000,42.910000,43.970001,43.970001,930500
2019-09-23,43.209999,44.520000,43.209999,44.320000,44.320000,550100
2019-09-24,44.209999,44.209999,41.779999,42.119999,42.119999,518300
2019-09-25,41.779999,43.770000,41.779999,43.320000,43.320000,387300
2019-09-26,43.360001,43.779999,42.860001,43.240002,43.240002,315400
2019-09-27,43.320000,44.610001,42.965000,43.130001,43.130001,464100
2019-09-30,43.119999,43.445000,42.450001,42.950001,42.950001,480300
2019-10-01,43.320000,44.660000,40.730000,40.849998,40.849998,350700
2019-10-02,40.110001,40.599998,39.062000,39.759998,39.759998,479000
2019-10-03,39.490002,40.080002,38.915001,40.080002,40.080002,224900
2019-10-04,40.130001,40.889999,39.700001,40.529999,40.529999,194400
2019-10-07,40.160000,41.169998,39.700001,39.880001,39.880001,517800
